ID,MU_GLOBAL,MU_SOURCE1,MU_SOURCE2,ISSOIL,SHARE,SEQ,SU_SYM74,SU_CODE74,SU_SYM85,SU_CODE85,SU_SYM90,SU_CODE90,DRAINAGE,T_GRAVEL,T_SAND,T_SILT,T_CLAY,T_USDA_TEX_CLASS,T_BULK_DENSITY,T_OC,S_GRAVEL,S_SAND,S_SILT,S_CLAY,S_USDA_TEX_CLASS,S_BULK_DENSITY,S_OC
41429,3534,3534,,1,10,5,Rc,11,,,,,4,17,43,35,22,9,1.4,0.77,18,38,36,26,9,1.52,0.53
41430,3534,3534,,1,10,4,Z,30,,,,,4,6,35,43,22,9,1.3,0.48,5,38,39,23,9,1.35,0.29
41431,3535,3535,,1,30,1,Lv,81,,,,,4,4,19,27,54,3,1.37,1.21,8,19,22,59,3,1.37,0.59
41432,3535,3535,,1,20,3,Lk,80,,,,,4,6,50,29,21,9,1.53,0.5,10,46,29,25,9,1.61,0.32
41433,3535,3535,,1,20,2,Vc,29,,,,,2,4,16,29,55,3,1.65,0.75,5,15,28,57,3,1.76,0.45
41434,3535,3535,,1,10,6,Bk,73,,,,,4,10,38,41,21,9,1.42,0.63,10,36,41,23,9,1.46,0.43
41435,3535,3535,,1,10,5,E,20,,,,,3,10,42,38,20,9,1.3,1.96,,,,,,,
41436,3535,3535,,1,10,4,I,14,,,,,3,26,43,34,23,9,1.3,1.4,,,,,,,
41437,3537,3537,,1,100,1,Qa,19,,,,,6,4,89,7,4,13,1.32,0.4,4,87,8,5,13,1.56,0.22
41438,3539,3539,,1,25,1,Qc,16,,,,,5,4,89,6,5,13,1.5,0.4,4,89,5,6,13,1.52,0.21
41439,3539,3539,,1,25,2,Qc,16,,,,,3,7,60,20,20,10,1.39,0.44,9,61,24,15,11,1.43,0.24
41440,3539,3539,,1,20,4,I,14,,,,,3,26,43,34,23,9,1.3,1.4,,,,,,,
41441,3539,3539,,1,20,3,Y,39,,,,,4,20,40,39,21,9,1.5,0.41,27,37,36,27,5,1.47,0.23
41442,3539,3539,,1,10,5,R,9,,,,,4,24,44,36,20,9,1.37,1.12,28,44,35,21,9,1.53,0.48
41443,3541,3541,,1,12.5,1,Qc,16,,,,,6,4,89,6,5,13,1.5,0.4,4,89,5,6,13,1.52,0.21
41444,3541,3541,,1,12.5,2,Qc,16,,,,,4,7,60,20,20,10,1.39,0.44,9,61,24,15,11,1.43,0.24
41445,3541,3541,,1,15,4,Rc,11,,,,,4,17,43,35,22,9,1.4,0.77,18,38,36,26,9,1.52,0.53
41446,3541,3541,,1,5,6,Yk,41,,,,,4,20,39,37,24,9,1.46,0.37,41,30,42,28,5,1.3,0.29
41447,3541,3541,,1,5,5,Z,30,,,,,4,6,35,43,22,9,1.3,0.48,5,38,39,23,9,1.35,0.29
41448,3541,3541,,0,50,3,DS,141,,,,,,,,,,,,,,,,,,,
41449,3542,3542,,1,50,1,Qc,16,,,,,6,4,89,6,5,13,1.5,0.4,4,89,5,6,13,1.52,0.21
41450,3542,3542,,1,30,2,Rc,11,,,,,4,17,43,35,22,9,1.4,0.77,18,38,36,26,9,1.52,0.53
41451,3542,3542,,1,10,4,Yk,41,,,,,4,20,39,37,24,9,1.46,0.37,41,30,42,28,5,1.3,0.29
41452,3542,3542,,1,10,3,Z,30,,,,,4,6,35,43,22,9,1.3,0.48,5,38,39,23,9,1.35,0.29
41453,3544,3544,,1,50,1,Rc,11,,,,,6,15,84,9,7,12,1.37,0.49,34,82,9,9,12,1.49,0.4
41454,3544,3544,,0,50,2,DS,141,,,,,,,,,,,,,,,,,,,
41455,3545,3545,,1,100,1,Rc,11,,,,,4,17,43,35,22,9,1.4,0.77,18,38,36,26,9,1.52,0.53
41456,3546,3546,,1,50,1,Rc,11,,,,,6,15,84,9,7,12,1.37,0.49,34,82,9,9,12,1.49,0.4
41457,3546,3546,,1,20,3,Qc,16,,,,,6,4,89,6,5,13,1.5,0.4,4,89,5,6,13,1.52,0.21
41458,3546,3546,,1,20,2,Yk,41,,,,,4,20,39,37,24,9,1.46,0.37,41,30,42,28,5,1.3,0.29
41459,3546,3546,,1,10,4,Z,30,,,,,4,6,35,43,22,9,1.3,0.48,5,38,39,23,9,1.35,0.29
41460,3548,3548,,1,25,1,Rc,11,,,,,6,15,84,9,7,12,1.37,0.49,34,82,9,9,12,1.49,0.4
41461,3548,3548,,1,10,4,Qc,16,,,,,6,4,89,6,5,13,1.5,0.4,4,89,5,6,13,1.52,0.21
41462,3548,3548,,1,10,3,Yk,41,,,,,4,20,39,37,24,9,1.46,0.37,41,30,42,28,5,1.3,0.29
41463,3548,3548,,1,5,5,Z,30,,,,,4,6,35,43,22,9,1.3,0.48,5,38,39,23,9,1.35,0.29
41464,3548,3548,,0,50,2,DS,141,,,,,,,,,,,,,,,,,,,
41465,3549,3549,,1,35,1,Rc,11,,,,,6,15,84,9,7,12,1.37,0.49,34,82,9,9,12,1.49,0.4
41466,3549,3549,,1,35,2,Rc,11,,,,,4,17,43,35,22,9,1.4,0.77,18,38,36,26,9,1.52,0.53
41467,3549,3549,,1,30,3,Z,30,,,,,4,6,35,43,22,9,1.3,0.48,5,38,39,23,9,1.35,0.29
41468,3550,3550,,1,70,1,Rc,11,,,,,5,15,84,9,7,12,1.37,0.49,34,82,9,9,12,1.49,0.4
41469,3550,3550,,1,30,2,Yy,42,,,,,4,20,35,45,20,9,1.5,0.47,15,36,37,27,5,1.47,0.15
41470,3551,3551,,1,45,1,Rc,11,,,,,6,15,84,9,7,12,1.37,0.49,34,82,9,9,12,1.49,0.4
41471,3551,3551,,1,45,2,Rc,11,,,,,4,17,43,35,22,9,1.4,0.77,18,38,36,26,9,1.52,0.53
41472,3551,3551,,1,10,3,Qc,16,,,,,6,4,89,6,5,13,1.5,0.4,4,89,5,6,13,1.52,0.21
41473,3552,3552,,1,60,1,Rc,11,,,,,4,28,21,40,39,3,1.28,0.86,33,19,41,40,2,1.35,0.49
41474,3552,3552,,1,30,2,I,14,,,,,3,26,43,34,23,9,1.3,1.4,,,,,,,
41475,3552,3552,,1,10,3,Zo,31,,,,,4,6,36,43,21,9,1.3,0.53,7,40,39,21,9,1.32,0.27
41476,3554,3554,,1,45,1,Rc,11,,,,,6,15,84,9,7,12,1.37,0.49,34,82,9,9,12,1.49,0.4
41477,3554,3554,,1,5,3,Zo,31,,,,,4,6,36,43,21,9,1.3,0.53,7,40,39,21,9,1.32,0.27
41478,3554,3554,,0,50,2,DS,141,,,,,,,,,,,,,,,,,,,
41479,3555,3555,,1,45,1,Rc,11,,,,,6,15,84,9,7,12,1.37,0.49,34,82,9,9,12,1.49,0.4
41480,3555,3555,,1,5,3,Zo,31,,,,,4,6,36,43,21,9,1.3,0.53,7,40,39,21,9,1.32,0.27
41481,3555,3555,,0,50,2,RK,142,,,,,,,,,,,,,,,,,,,
41482,3557,3557,,1,50,1,Re,10,,,,,6,18,83,11,6,12,1.42,0.5,21,81,11,8,12,1.29,0.3
41483,3557,3557,,1,50,2,Re,10,,,,,4,27,47,34,19,9,1.21,0.97,28,50,32,18,9,1.46,0.4
41484,3559,3559,,1,20,1,Vc,29,,,,,2,7,48,23,29,10,1.27,1.63,3,37,22,41,3,1.24,0.56
41485,3559,3559,,1,20,2,Vc,29,,,,,2,4,16,29,55,3,1.65,0.75,5,15,28,57,3,1.76,0.45
41486,3559,3559,,1,20,4,Bv,75,,,,,4,5,21,28,51,3,1.43,0.97,5,18,28,54,3,1.46,0.45
41487,3559,3559,,1,20,3,Lc,79,,,,,4,9,47,29,24,9,1.54,0.86,8,39,27,34,5,1.52,0.38
41488,3559,3559,,1,5,8,Bk,73,,,,,4,10,38,41,21,9,1.42,0.63,10,36,41,23,9,1.46,0.43
41489,3559,3559,,1,5,7,G,1,,,,,2,4,38,40,22,9,1.33,1.27,5,37,35,28,5,1.43,0.42
41490,3559,3559,,1,5,6,I,14,,,,,3,26,43,34,23,9,1.3,1.4,,,,,,,
41491,3559,3559,,1,5,5,Jc,147,,,,,2,10,35,47,18,9,1.39,0.6,11,37,45,18,9,1.41,0.4
41492,3560,3560,,1,60,1,Vc,29,,,,,2,4,16,29,55,3,1.65,0.75,5,15,28,57,3,1.76,0.45
41493,3560,3560,,1,30,2,Bv,75,,,,,4,5,21,28,51,3,1.43,0.97,5,18,28,54,3,1.46,0.45
41494,3560,3560,,1,10,3,Lc,79,,,,,4,9,47,29,24,9,1.54,0.86,8,39,27,34,5,1.52,0.38
41495,3561,3561,,1,80,1,Vc,29,,,,,2,4,16,29,55,3,1.65,0.75,5,15,28,57,3,1.76,0.45
41496,3561,3561,,1,10,3,Jc,147,,,,,2,10,35,47,18,9,1.39,0.6,11,37,45,18,9,1.41,0.4
41497,3561,3561,,1,10,2,Zo,31,,,,,4,6,36,43,21,9,1.3,0.53,7,40,39,21,9,1.32,0.27
41498,3562,3562,,1,30,1,Vc,29,,,,,2,4,16,29,55,3,1.65,0.75,5,15,28,57,3,1.76,0.45
41499,3562,3562,,1,20,4,I,14,,,,,3,26,43,34,23,9,1.3,1.4,,,,,,,
41500,3562,3562,,1,20,3,So,36,,,,,4,6,47,28,25,9,1.53,0.66,8,40,27,33,5,1.58,0.29
41501,3562,3562,,1,20,2,Zg,34,,,,,2,6,36,43,21,9,1.41,0.42,5,37,39,24,9,1.51,0.3
41502,3562,3562,,1,10,5,Bk,73,,,,,4,10,38,41,21,9,1.42,0.63,10,36,41,23,9,1.46,0.43
41503,3563,3563,,1,50,1,Vp,28,,,,,2,2,20,24,56,3,1.31,1.2,4,20,22,58,3,1.4,0.63
41504,3563,3563,,1,30,2,Bv,75,,,,,4,5,21,28,51,3,1.43,0.97,5,18,28,54,3,1.46,0.45
41505,3563,3563,,1,10,4,Bk,73,,,,,4,10,38,41,21,9,1.42,0.63,10,36,41,23,9,1.46,0.43
41506,3563,3563,,1,10,3,Rc,11,,,,,4,17,43,35,22,9,1.4,0.77,18,38,36,26,9,1.52,0.53
41507,3564,3564,,1,60,1,Xh,46,,,,,4,6,23,33,44,3,1.4,0.74,22,18,31,51,3,1.49,0.42
41508,3564,3564,,1,30,2,Zo,31,,,,,4,6,36,43,21,9,1.3,0.53,7,40,39,21,9,1.32,0.27
41509,3564,3564,,1,10,3,Zg,34,,,,,2,6,36,43,21,9,1.41,0.42,5,37,39,24,9,1.51,0.3
41510,3565,3565,,1,50,1,Xh,46,,,,,4,6,23,33,44,3,1.4,0.74,22,18,31,51,3,1.49,0.42
41511,3565,3565,,1,30,2,Xk,47,,,,,4,4,40,37,23,9,1.31,0.56,4,37,36,27,5,1.33,0.33
41512,3565,3565,,1,10,4,Gc,3,,,,,2,4,35,42,23,9,1.33,1.27,5,36,47,17,9,1.43,0.42
41513,3565,3565,,1,10,3,Rc,11,,,,,4,17,43,35,22,9,1.4,0.77,18,38,36,26,9,1.52,0.53
41514,3567,3567,,1,50,1,Xh,46,,,,,4,6,23,33,44,3,1.4,0.74,22,18,31,51,3,1.49,0.42
41515,3567,3567,,1,30,2,Xk,47,,,,,4,4,40,37,23,9,1.31,0.56,4,37,36,27,5,1.33,0.33
41516,3567,3567,,1,10,4,Rc,11,,,,,4,17,43,35,22,9,1.4,0.77,18,38,36,26,9,1.52,0.53
41517,3567,3567,,1,10,3,Zo,31,,,,,4,6,36,43,21,9,1.3,0.53,7,40,39,21,9,1.32,0.27
41518,3568,3568,,1,40,1,Xh,46,,,,,4,6,23,33,44,3,1.4,0.74,22,18,31,51,3,1.49,0.42
41519,3568,3568,,1,20,3,Rc,11,,,,,4,17,43,35,22,9,1.4,0.77,18,38,36,26,9,1.52,0.53
41520,3568,3568,,1,20,2,Zo,31,,,,,4,6,36,43,21,9,1.3,0.53,7,40,39,21,9,1.32,0.27
41521,3568,3568,,1,10,5,Gc,3,,,,,2,4,35,42,23,9,1.33,1.27,5,36,47,17,9,1.43,0.42
41522,3568,3568,,1,10,4,Hc,61,,,,,4,3,34,43,23,9,1.48,1.37,4,33,45,22,9,1.47,0.49
41523,3569,3569,,1,60,1,Xk,47,,,,,4,7,23,30,47,3,1.35,0.99,17,23,25,52,3,1.4,0.4
41524,3569,3569,,1,30,2,Xl,49,,,,,4,4,58,18,24,10,1.56,0.5,3,54,17,29,10,1.56,0.3
41525,3569,3569,,1,10,3,I,14,,,,,3,26,43,34,23,9,1.3,1.4,,,,,,,
41526,3571,3571,,1,40,1,Xk,47,,,,,4,4,40,37,23,9,1.31,0.56,4,37,36,27,5,1.33,0.33
41527,3571,3571,,1,20,3,I,14,,,,,3,26,43,34,23,9,1.3,1.4,,,,,,,
41528,3571,3571,,1,20,2,Rc,11,,,,,4,17,43,35,22,9,1.4,0.77,18,38,36,26,9,1.52,0.53
41529,3571,3571,,1,10,5,Lc,79,,,,,4,9,47,29,24,9,1.54,0.86,8,39,27,34,5,1.52,0.38
41530,3571,3571,,1,10,4,Z,30,,,,,4,6,35,43,22,9,1.3,0.48,5,38,39,23,9,1.35,0.29
41531,3572,3572,,1,40,1,Xk,47,,,,,4,4,40,37,23,9,1.31,0.56,4,37,36,27,5,1.33,0.33
41532,3572,3572,,1,40,2,Xk,47,,,,,4,7,23,30,47,3,1.35,0.99,17,23,25,52,3,1.4,0.4
41533,3572,3572,,1,10,4,Rc,11,,,,,4,17,43,35,22,9,1.4,0.77,18,38,36,26,9,1.52,0.53
41534,3572,3572,,1,10,3,Vc,29,,,,,2,4,16,29,55,3,1.65,0.75,5,15,28,57,3,1.76,0.45
41535,3573,3573,,1,60,1,Xk,47,,,,,4,7,23,30,47,3,1.35,0.99,17,23,25,52,3,1.4,0.4
41536,3573,3573,,1,20,3,Gc,3,,,,,2,4,35,42,23,9,1.33,1.27,5,36,47,17,9,1.43,0.42
41537,3573,3573,,1,20,2,Rc,11,,,,,4,17,43,35,22,9,1.4,0.77,18,38,36,26,9,1.52,0.53
41538,3574,3574,,1,60,1,Xk,47,,,,,4,7,23,30,47,3,1.35,0.99,17,23,25,52,3,1.4,0.4
41539,3574,3574,,1,20,3,Rc,11,,,,,4,17,43,35,22,9,1.4,0.77,18,38,36,26,9,1.52,0.53
41540,3574,3574,,1,20,2,Zo,31,,,,,4,6,36,43,21,9,1.3,0.53,7,40,39,21,9,1.32,0.27
